name,lastname,DOB,postal_code,credit_number,credit_provider,credit_security_code
Monica Sanders,Ballard,1990-10-13,92310,4.76E+15,VISA 13 digit,8
Lorraine Hale,Simpson,2000-03-21,73196,2.22E+15,Discover,644
Christopher Lee,Willis,1992-03-19,86372,3.73E+14,JCB 16 digit,542
Mikayla Henderson,Sanchez,1945-04-02,19557,4.42E+18,Maestro,454
Andre Smith,Mays,1983-11-25,94306,4.85E+18,JCB 16 digit,297
Thomas Woods,Zimmerman,1951-02-14,29648,4.66E+18,American Express,188
Andrea Freeman,Lopez,1949-02-24,10124,4.45E+15,VISA 16 digit,565
David Villanueva,Jones,1947-01-31,78788,3.63E+13,American Express,76
Blake Shaffer,Moore,1958-10-26,77075,4.01E+12,JCB 16 digit,445
Tabitha Flowers,Scott,1983-12-17,82698,3.51E+15,VISA 19 digit,368
Christopher Torres,Martinez,1988-06-26,34763,3.59E+15,VISA 13 digit,259
Samantha Chapman,Anderson,1949-10-05,34575,3.46E+14,VISA 16 digit,800
Darrell Price,White,1965-09-06,10764,4.78E+15,VISA 16 digit,252
Stephanie Chapman,King,1989-03-12,11422,3.53E+15,VISA 16 digit,890
Peter Morgan,Griffin,1998-11-05,13635,3.44E+14,VISA 16 digit,122
Michael Kelly,Murray,1972-09-09,68619,2.13E+14,JCB 16 digit,557
Judy Little,Fernandez,1975-12-20,27431,6.01E+15,VISA 19 digit,17
Samantha Reed,Fisher,1926-02-28,40208,4.27E+15,VISA 19 digit,845
David Phillips,Lawson,1983-10-14,15924,5.39E+15,Maestro,1
Carol Gonzalez,Rubio,1993-09-20,29965,4.00E+12,Maestro,530
