name,lastname,ID,DOB,postal_code,color,companies,income
Monica Sanders,Ballard,raymondmoore,1990-10-13,92310,DarkBlue,Joseph-Burns,120000
Lorraine Hale,Simpson,sporter,2000-03-21,73196,SeaShell,Nguyen PLC,70000
Christopher Lee,Willis,biancasnyder,1992-03-19,86372,Bisque,Byrd-Walton,223546
Mikayla Henderson,Sanchez,ujackson,1945-04-02,19557,LightYellow,Pena Group,62345
Andre Smith,Mays,ewolfe,1983-11-25,94306,DarkSlateBlue,Schneider Inc,146098
Thomas Woods,Zimmerman,lindseyjames,1951-02-14,29648,LightBlue,Ferguson Group,56000
Andrea Freeman,Lopez,johnhunt,1949-02-24,10124,Fuchsia,"Martin, Alvarez and Young",231456
David Villanueva,Jones,kpetersen,1947-01-31,78788,OrangeRed,"Burns, Michael and Collins",210900
Blake Shaffer,Moore,xwillis,1958-10-26,77075,MediumAquaMarine,"Miller, Hanson and Roberts",93567
Tabitha Flowers,Scott,bennettjustin,1983-12-17,82698,IndianRed,Freeman-Perry,90000
Christopher Torres,Martinez,karen53,1988-06-26,34763,DarkGray,Cabrera-Schneider,212500
Samantha Chapman,Anderson,jeffrey83,1949-10-05,34575,LightSalmon,"Garcia, Barker and Kim",43000
Darrell Price,White,sherrycabrera,1965-09-06,10764,Yellow,"Weber, Brown and Brooks",125000
Stephanie Chapman,King,eweber,1989-03-12,11422,MediumVioletRed,Dickerson Group,220000
Peter Morgan,Griffin,craig45,1998-11-05,13635,LightCoral,"Andrews, Martinez and Thompson",110000
Michael Kelly,Murray,blee,1972-09-09,68619,DarkOrchid,"Murphy, Martinez and Jones",2000000
Judy Little,Fernandez,linrachel,1975-12-20,27431,LightSteelBlue,"Smith, Graham and Smith",122000
Samantha Reed,Fisher,morrisonchristopher,1926-02-28,40208,LightSalmon,Evans LLC,56000
David Phillips,Lawson,lanecarol,1983-10-14,15924,Blue,Jones-Ortiz,75000
Carol Gonzalez,Rubio,dawnsalas,1993-09-20,29965,Plum,"Andrews, Ruiz and Dunn",89000
