name,lastname,DOB,ip_address,location
Monica Sanders,Ballard,1990-10-13,192.0.8.93,"('53.7446', '-0.33525', 'Kingston upon Hull', 'GB', 'Europe/London')"
Lorraine Hale,Simpson,2000-03-21,203.48.10.235,"('48.73218', '11.18709', 'Neuburg an der Donau', 'DE', 'Europe/Berlin')"
Christopher Lee,Willis,1992-03-19,198.51.98.53,"('35.06544', '1.04945', 'Frenda', 'DZ', 'Africa/Algiers')"
Mikayla Henderson,Sanchez,1945-04-02,192.160.182.167,"('35.85', '117.7', 'Dongdu', 'CN', 'Asia/Shanghai')"
Andre Smith,Mays,1983-11-25,213.43.91.75,"('32.05971', '34.8732', 'Ganei Tikva', 'IL', 'Asia/Jerusalem')"
Thomas Woods,Zimmerman,1951-02-14,192.29.160.209,"('-20.87306', '-48.29694', 'Viradouro', 'BR', 'America/Sao_Paulo')"
Andrea Freeman,Lopez,1949-02-24,198.51.2.188,"('22.37066', '114.10479', 'Tsuen Wan', 'HK', 'Asia/Hong_Kong')"
David Villanueva,Jones,1947-01-31,198.58.178.92,"('48.52961', '12.16179', 'Landshut', 'DE', 'Europe/Berlin')"
Blake Shaffer,Moore,1958-10-26,203.3.238.205,"('48.07667', '8.64409', 'Trossingen', 'DE', 'Europe/Berlin')"
Tabitha Flowers,Scott,1983-12-17,192.52.207.100,"('38.37255', '34.02537', 'Aksaray', 'TR', 'Europe/Istanbul')"
Christopher Torres,Martinez,1988-06-26,192.88.98.113,"('12.74482', '4.52514', 'Argungu', 'NG', 'Africa/Lagos')"
Samantha Chapman,Anderson,1949-10-05,100.38.177.193,"('7.6', '4.18333', 'Olupona', 'NG', 'Africa/Lagos')"
Darrell Price,White,1965-09-06,203.16.148.93,"('34.75856', '136.13108', 'Ueno-ebisumachi', 'JP', 'Asia/Tokyo')"
Stephanie Chapman,King,1989-03-12,198.54.105.251,"('10.13361', '124.84472', 'Maasin', 'PH', 'Asia/Manila')"
Peter Morgan,Griffin,1998-11-05,216.114.85.197,"('60.97944', '76.92421', 'Izluchinsk', 'RU', 'Asia/Yekaterinburg')"
Michael Kelly,Murray,1972-09-09,192.31.67.82,"('0.46005', '34.11169', 'Busia', 'KE', 'Africa/Nairobi')"
Judy Little,Fernandez,1975-12-20,192.58.175.42,"('34.06635', '-84.67837', 'Acworth', 'US', 'America/New_York')"
Samantha Reed,Fisher,1926-02-28,203.83.230.138,"('-20.25333', '-43.80139', 'Itabirito', 'BR', 'America/Sao_Paulo')"
David Phillips,Lawson,1983-10-14,92.212.215.243,"('42.64031', '125.51176', 'Dongfeng', 'CN', 'Asia/Shanghai')"
Carol Gonzalez,Rubio,1993-09-20,169.248.164.224,"('33.52253', '-117.70755', 'Laguna Niguel', 'US', 'America/Los_Angeles')"
